"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7703","test_career_search_no_results","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","7234","test_empty_career_search","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","10438","test_clear_search_filters","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","9283","test_career_multiple_regions_combined","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","13145","test_input_search_hebrew_keyword","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","27008","test_career_regions_only_center","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","7593","test_career_search_special_characters","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","13239","test_career_filters","tests","2026-06-24","passed","2026-06-24","TestStraussCareer > TestStraussCareer","test_career","",""
"","8711","test_long_conversational_search","tests","2026-06-24","passed","2026-06-24","TestStraussCareer","test_career","",""
"","13881","test_career_filters","tests","2026-06-23","broken","2026-06-23","TestStraussCareer","test_career","",""
